ลำดับ,จังหวัดภูมิลำเนา,จังหวัดสถานที่ติดต่อได้,จังหวัดสถานที่ทำงาน,สถานะใบอนุญาต
39460,บึงกาฬ,บึงกาฬ,สระแก้ว,ปกติ
39461,สุพรรณบุรี,สุพรรณบุรี,สุพรรณบุรี,ปกติ
39462,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39463,ชลบุรี,ชลบุรี,ชลบุรี,ปกติ
39464,นครราชสีมา,บุรีรัมย์,บุรีรัมย์,ปกติ
39465,ปทุมธานี,ปทุมธานี,กรุงเทพมหานคร,ปกติ
39466,อุบลราชธานี,ยโสธร,กรุงเทพมหานคร,ปกติ
39467,ศรีสะเกษ,ศรีสะเกษ,ศรีสะเกษ,ปกติ
39468,ปทุมธานี,ปทุมธานี,ปทุมธานี,ปกติ
39469,สงขลา,สงขลา,ปัตตานี,ปกติ
39470,นครศรีธรรมราช,นครศรีธรรมราช,นครศรีธรรมราช,ปกติ
39471,ชลบุรี,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39472,ปทุมธานี,ปทุมธานี,ปทุมธานี,ปกติ
39473,กรุงเทพมหานคร,กรุงเทพมหานคร,,ปกติ
39474,อุบลราชธานี,อุบลราชธานี,กรุงเทพมหานคร,ปกติ
39475,พะเยา,พะเยา,เชียงราย,ปกติ
39476,พะเยา,เชียงราย,เชียงราย,ปกติ
39477,ลำพูน,ลำพูน,กรุงเทพมหานคร,ปกติ
39478,เชียงใหม่,เชียงใหม่,เชียงใหม่,ปกติ
39479,อุบลราชธานี,อุบลราชธานี,อุบลราชธานี,ปกติ
39480,ลำปาง,ชลบุรี,ชลบุรี,ปกติ
39481,พระนครศรีอยุธยา,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39482,สมุทรปราการ,สมุทรปราการ,,ปกติ
39483,สระบุรี,สระบุรี,ลพบุรี,ปกติ
39484,อุดรธานี,อุดรธานี,สมุทรปราการ,ปกติ
39485,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39486,ระยอง,ระยอง,ระยอง,ปกติ
39487,กรุงเทพมหานคร,กรุงเทพมหานคร,,ปกติ
39488,เพชรบูรณ์,ชลบุรี,ชลบุรี,ปกติ
39489,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39490,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39491,กรุงเทพมหานคร,นนทบุรี,กรุงเทพมหานคร,ปกติ
39492,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39493,ชลบุรี,ชลบุรี,ชลบุรี,ปกติ
39494,กรุงเทพมหานคร,เพชรบูรณ์,เพชรบูรณ์,ปกติ
39495,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39496,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39497,อุบลราชธานี,อุบลราชธานี,อุบลราชธานี,ปกติ
39498,ปัตตานี,ปัตตานี,ปัตตานี,ปกติ
39499,ราชบุรี,ราชบุรี,ราชบุรี,ปกติ
39500,สุราษฎร์ธานี,ชลบุรี,ชลบุรี,ปกติ
